2046	110306	"Davis, William Stanley"	"William S. Davis"	"William "	"Davis"
2046	133720	"Davis, William Thomson"	"William S. Davis"	"William "	"Davis"
2019	167414	"De Sloover, Jean Louis"	"Jean Louis De Sloover"	"Jean "	"Sloover"
2019	142197	"De Sloover, Jean Louis J. A."	"Jean Louis De Sloover"	"Jean "	"Sloover"
1834	120752	"Dean, Ellen A."	"Ellen Dean"	"Ellen "	"Dean"
2007	182560	"Debouck, Daniel Gabriel"	"Daniel G. Debouck"	"Daniel "	"Debouck"
1296	109614	"Decock, Cony Antonio"	"Cony Decock"	"Cony "	"Decock"
1316	120453	"Deginani, Norma B."	"Norma B. Deginani"	"Norma "	"Deginani"
1376	117346	"Desjardin, Dennis E."	"Dennis E. Desjardin"	"Dennis "	"Desjardin"
1978	179818	"Dias, Maria Rosalia de Sousa"	"Maria Mercedes Teixeira da Rosa"	"Maria "	"Rosa"
1139	117494	"Dibben, Martyn J."	"Martyn J. Dibben"	"Martyn "	"Dibben"
1139	167909	"Dibben, Martyn James"	"Martyn J. Dibben"	"Martyn "	"Dibben"
1998	124549	"Dickinson, Timothy A."	"Timothy A. Dickinson"	"Timothy "	"Dickinson"
1998	170337	"Dickinson, Timothy Aadam"	"Timothy A. Dickinson"	"Timothy "	"Dickinson"
1680	116623	"Dillon, Michael O."	"Michael O. Dillon"	"Michael "	"Dillon"
1065	143361	"Dixon, Peter Stanley"	"Peter s. Dixon"	"Peter "	"Dixon"
2057	102103	"Dodson, Calaway H."	"Calaway H. Dodson"	"Calaway "	"Dodson"
1198	125178	"Dolan, Rebecca Wilcox"	"Rebecca W. Dolan"	"Rebecca "	"Dolan"
1198	161911	"Dolan, Rebecca Wilcox"	"Rebecca W. Dolan"	"Rebecca "	"Dolan"
1956	130298	"Donoghue, Michael John"	"Michael J. Donoghue"	"Michael "	"Donoghue"
543942	187264	"Doran,  Andrew Scott"	"Andrew Doran"	"Andrew "	"Doran"
485886	187264	"Doran,  Andrew Scott"	"Andrew Doran"	"Andrew "	"Doran"
1583	187264	"Doran,  Andrew Scott"	"Andrew Doran"	"Andrew "	"Doran"
1496	100509	"Doweld, Alexander Borissovitch"	"Alexander B. Doweld"	"Alexander "	"Doweld"
1092	105544	"Drapalik, Donald J."	"Donald J. Drapalik"	"Donald "	"Drapalik"
1092	160964	"Drapalik, Donald Joseph"	"Donald J. Drapalik"	"Donald "	"Drapalik"
1275	118336	"Dubrule, Monique L."	"Monique L. Dubrule"	"Monique "	"Dubrule"
1481	164919	"Dunlop, Debra A."	"Debra Dunlop"	"Debra "	"Dunlop"
2046	122053	"Durland, William Davis"	"William S. Davis"	"William "	"Davis"
